name
ROLE_ADMIN
ROLE_USER
ROLE_PURCHASER
ROLE_APPROVAL_LVL1
ROLE_APPROVAL_LVL2
ROLE_MATERIAL_MANAGER
ROLE_PROJECT_MANAGER
ROLE_USER_MANAGER
ROLE_DELIVERY_MANAGER
ROLE_INVOICE_MANAGER
